She's a hard-bitten psychic widow with someone else's memories,
She's a strong-willed hip-hop soap star from beyond the grave ,
She's a cynical gold-digging nun prone to fits of savage, blood-crazed rage
She's a cold-hearted hip-hop museum curator with an MBA from Harvard,
She's a man-hating out-of-work mermaid who believes she is the reincarnation of an ancient Egyptian queen,
She's a blind mutant cab driver in the witness protection scheme,
She's a disco-crazy blonde opera singer who don't take no shit from nobody,
She's a time-travelling tempestuous Hell's Angel who inherited a spooky stately manor from her late maiden aunt,
She's a vivacious foul-mouthed fairy princess in the wrong place at the wrong time,
She's a mentally unstable goth femme fatale who inherited a spooky stately manor from her late maiden aunt,
She's a transdimensional Buddhist angel with a birthmark shaped like Liberty's torch,
She's a blind tempestuous cab driver with an incredible destiny,
She's a provocative belly-dancing safe cracker looking for love in all the wrong places,
She's a manipulative bisexual cab driver living on borrowed time,
She's a beautiful French-Canadian wrestler who hides her beauty behind a pair of thick-framed spectacles,
She's an enchanted mutant lawyer who can talk to animals,
She's an elegant punk hooker on her way to prison for a murder she didn't commit,
She's a sarcastic bisexual snake charmer who believes she is the reincarnation of an ancient Egyptian queen,
She's a pregnant thirtysomething fairy princess with a song in her heart and a spring in her step,
She's a time-travelling green-skinned college professor from the wrong side of the tracks,
She's a cosmopolitan communist bodyguard with her own daytime radio talk show,
She's an orphaned paranoid snake charmer who hides her beauty behind a pair of thick-framed spectacles,
She's a virginal African-American cab driver with an evil twin sister,
She's a blind out-of-work doctor from aristocratic European stock,
She's a cosmopolitan red-headed queen of the dead prone to fits of savage, blood-crazed rage
She's a sarcastic impetuous soap star who can talk to animals,
She's a wealthy winged politician from beyond the grave ,
She's an artistic blonde Hell's Angel living homeless in New York's sewers,
She's a warm-hearted bisexual bodyguard from a different time and place,
She's a foxy psychic research scientist on her way to prison for a murder she didn't commit,
She's a high-kicking mute politician with someone else's memories,
She's a high-kicking motormouth stripper from beyond the grave ,
She's a tortured hip-hop barmaid with an evil twin sister,
She's a warm-hearted paranoid mechanic living homeless in New York's sewers,
She's a cosmopolitan streetsmart schoolgirl with the power to see death,
She's a scantily clad foul-mouthed queen of the dead descended from a line of powerful witches,
She's an enchanted out-of-work snake charmer with a flame-thrower,
She's a foxy African-American widow with a birthmark shaped like Liberty's torch,
She's a cynical cigar-chomping soap star with someone else's memories,
She's a provocative wisecracking cab driver who dreams of becoming Elvis,
She's a vivacious streetsmart journalist from beyond the grave ,
She's a strong-willed tomboy femme fatale looking for love in all the wrong places,
She's a wealthy Bolivian Valkyrie married to the Mob,
She's a vivacious psychic magician's assistant from a secret island of warrior women,
She's a mistrustful bisexual wrestler operating on the wrong side of the law,
She's a mistrustful wisecracking magician's assistant operating on the wrong side of the law,
She's a mentally unstable psychic former first lady from aristocratic European stock,
She's a manipulative belly-dancing museum curator with an incredible destiny,
She's a foxy junkie mercenary who can talk to animals,
She's a warm-hearted winged magician's assistant in the wrong place at the wrong time,
